node_id,lat,lon,priority
261281942,41.885467,-87.7013312,1
261150018,41.7726693,-87.633249,3
1255567984,41.9973757,-87.7607212,2
261107137,41.7442489,-87.707112,1
261285321,41.7330364,-87.6690857,1
261115308,41.9386948,-87.6758902,3
2482865952,41.678148,-87.6141262,2
261102595,41.9339553,-87.6976822,3
261233949,41.9743407,-87.7818424,3
261260797,41.9514826,-87.7546414,1
261249986,41.7414128,-87.6522854,1
261222541,42.004439,-87.8079495,3
261127100,41.7684082,-87.6169419,2
261204481,41.7962686,-87.7709578,1
261153735,41.7658808,-87.598276,2
261151300,41.8579176,-87.6588716,2
261224565,41.9394509,-87.7689557,3
268165832,41.9929704,-87.7509015,3
261198966,42.0094161,-87.697368,3
261210227,41.9468613,-87.7618669,1
261250330,42.0110557,-87.7867425,2
260098754,41.9319425,-87.6940906,3
3213506207,41.8441445,-87.6236071,3
261149781,41.7833623,-87.6473065,2
261275272,41.9644766,-87.738559,1
261126637,41.8723162,-87.7425263,2
256592106,41.8697612,-87.6392994,1
261315936,41.7285661,-87.659218,3
1369154056,41.9235485,-87.8025741,3
261162156,41.7905894,-87.651142,3
261176766,41.7859156,-87.6011868,1
261185602,41.8998859,-87.6566272,1
261172248,41.9082151,-87.6798477,1
271268842,41.82508,-87.7183388,2
261217407,41.7840509,-87.6060071,1
12242531205,41.9096709,-87.7427831,2
261163758,41.776633,-87.6143256,3
257169230,41.9618002,-87.6523399,1
408445713,41.8919631,-87.7016347,3
261156507,41.7147654,-87.604857,2
862988845,41.8551164,-87.6636966,1
261129448,41.6796919,-87.6402382,2
261127761,41.7745408,-87.7567349,1
305901652,41.96817,-87.7354432,3
261177762,41.7260229,-87.5826318,2
2291929261,41.9111719,-87.6330709,2
261225738,41.659196,-87.555631,1
261313930,41.8208825,-87.6995307,3
8632902382,41.828882,-87.7042878,3
418463389,41.8120913,-87.7075528,3
261229182,41.9751288,-87.78426,3
539132495,41.7140688,-87.6551281,2
2281926030,41.8601773,-87.6271817,2
261269381,41.7152053,-87.6357819,3
261223352,41.9320909,-87.700074,2
261120342,41.7371112,-87.5720917,1
261155522,41.7781243,-87.6318122,1
261175578,41.8249862,-87.6039057,1
261118858,41.6815938,-87.6299731,1
538784401,41.7766281,-87.7410199,3
261135232,41.8069251,-87.6540069,3
261147342,41.9739331,-87.7074094,2
261297769,41.7360481,-87.6460799,2
261189388,41.6906317,-87.6350864,1
2185494665,41.955208,-87.7511601,1
261113910,41.7498691,-87.5832732,1
261169873,41.7943471,-87.7084846,3
9260393536,41.7428935,-87.575825,1
261251082,41.6995859,-87.6474652,2
261148955,41.8677526,-87.6615965,1
261220452,41.9955377,-87.7887207,1
261245013,41.7408121,-87.5672936,2
349892558,41.7764819,-87.6276822,1
10798766153,41.8065234,-87.6904807,3
261147757,41.9091085,-87.7882509,2
271278847,41.8920076,-87.6111464,1
261313910,41.7590921,-87.6977727,2
33718415,41.8732183,-87.6205893,2
2412176195,41.7265283,-87.6105494,1
261192481,41.724041,-87.5960374,1
261136425,41.6663473,-87.6241016,3
261259450,41.8922816,-87.7457077,1
1308245880,41.8729691,-87.6568326,2
261219500,41.7338372,-87.5429808,2
28289299,41.8819867,-87.6294006,2
261319926,41.7611027,-87.679386,2
261155607,41.7768007,-87.7263876,1
2077277354,41.7286008,-87.5427899,1
7784238101,41.9321761,-87.6879863,2
261148735,41.7552773,-87.5736298,2
1309327400,41.8742481,-87.6617864,3
12251574751,41.7144587,-87.5364879,2
367989612,41.7588359,-87.560029,1
261239929,41.7575914,-87.6539158,1
261224928,41.7909121,-87.6304083,3
418469506,41.824865,-87.6866763,1
12239977920,41.8683097,-87.6984519,3
261180937,41.7212295,-87.6665561,1
261191281,41.9315782,-87.6477546,1
261194564,41.7548154,-87.6125929,1
261119878,41.9006766,-87.6566601,3
261254737,41.9591454,-87.7265404,2
261200717,41.9865853,-87.7187573,3
261166597,41.8219555,-87.6038133,1
711945227,41.7154249,-87.5589716,1
369631002,41.9535511,-87.7368071,1
369881575,41.9247991,-87.7004363,2
261187723,41.7456636,-87.5442769,2
1479104354,41.9621731,-87.7476055,2
261255907,41.955731,-87.7105204,3
261184692,41.7790101,-87.7006947,2
261210308,41.8742007,-87.7376902,2
261141628,41.9192237,-87.6913435,3
261204724,41.7958189,-87.6682813,3
261264537,41.7290259,-87.6252268,2
261208054,41.7742338,-87.5888115,3
27440247,41.8757665,-87.6242038,1
261214558,41.6584013,-87.6388583,3
261214272,41.6479221,-87.6172255,3
261288022,41.8634927,-87.683518,2
261264127,41.8889607,-87.6557398,2
261126459,41.933192,-87.7589323,2
261216473,41.7494754,-87.7277604,1
261276674,41.8352685,-87.681767,1
261214485,41.8008563,-87.702548,1
1475214573,41.8419953,-87.621976,1
261245732,41.727795,-87.5889438,2
6530563774,41.7784424,-87.7421929,1
261114680,41.7374875,-87.6728491,2
1314248313,41.8809511,-87.7085011,1
306056281,41.9539172,-87.7019211,3
261287334,41.8550402,-87.7210924,3
271166509,41.8795456,-87.6369624,3
261176748,41.8421032,-87.6139439,1
26792891,41.8959597,-87.6576752,2
257168664,41.9634504,-87.6663484,2
261180583,41.722862,-87.6760647,3
261238078,41.8408414,-87.7354054,2
261293475,41.9525213,-87.6657985,1
261137241,41.8893083,-87.755387,2
1343435579,41.9901832,-87.7810413,1
256611722,41.8767364,-87.6424927,2
3192565068,41.7203263,-87.6626719,3
286476712,41.9847709,-87.7683105,1
26794608,41.9616649,-87.6638826,3
3224944295,41.7515465,-87.5467158,3
261141758,41.7295858,-87.5867639,1
261231561,41.8371864,-87.651131,1
261280396,41.9210194,-87.7780536,2
261304685,41.9128574,-87.6386366,1
7927025633,41.9974382,-87.7578124,1
261207119,41.9022664,-87.7545508,1
1937532131,41.8755702,-87.6626621,1
4307742659,41.9195354,-87.6972532,3
369886248,41.9220483,-87.6959495,1
427142954,41.8618201,-87.6420099,2
261181590,41.9489374,-87.6616412,2
2293275898,41.8193435,-87.6841394,1
261137963,41.7445907,-87.7308647,2
261128319,41.7402478,-87.6923912,3
261146928,41.9030578,-87.7656888,2
5493322738,41.909335,-87.6494643,2
261147141,41.9261912,-87.7366314,3
1477505943,41.9793076,-87.8117834,2
261249947,41.7409451,-87.6898089,3
261162569,41.7682451,-87.6894469,2
261198180,41.927937,-87.6634106,3
261155449,41.7062,-87.7001628,1
261270075,41.9631063,-87.6959383,2
287215749,41.9922889,-87.6603512,3
388608193,41.8755223,-87.6317314,1
12236927409,41.9138039,-87.6934223,3
261118352,42.0153173,-87.8078262,2
261223165,41.8123715,-87.6552427,2
261319946,41.713711,-87.6782102,1
261148060,41.9113223,-87.7569452,2
4332509027,41.7499556,-87.6889524,2
262076886,41.9256257,-87.6381157,1
10947960098,41.8875929,-87.6174965,1
261157108,41.920127,-87.6400119,1
261166171,41.7028388,-87.6742531,3
261137231,41.8899325,-87.7185841,2
250278917,41.9872723,-87.6601903,2
261226294,42.005761,-87.6998255,1
263902315,41.9350304,-87.6782165,3
261285294,41.7921379,-87.6706149,2
261249821,41.8133379,-87.7262287,1
261167762,41.6932314,-87.6688941,3
261154472,41.8682833,-87.7008465,1
261308466,41.9867939,-87.7649272,3
261141999,41.8719753,-87.696052,2
261202961,41.9207044,-87.7025436,3
261209776,41.6999778,-87.6851298,2
261126452,41.9277326,-87.7587313,3
28358947,41.8832228,-87.6368179,2
261198383,41.8918426,-87.712557,1
12251455376,41.722703,-87.5948043,2
261136076,41.7734752,-87.6387662,3
261158001,41.791348,-87.6037421,3
261148583,41.7979121,-87.6027949,2
261218110,41.7027128,-87.5304367,3
256170810,41.9383146,-87.7860464,2
261136032,41.7023622,-87.7122094,1
287209249,41.9904946,-87.6921053,3
261199246,41.8408582,-87.7061487,3
705685458,41.8365297,-87.6755089,3
261118846,41.6952339,-87.6303703,1
258877179,41.8723002,-87.627625,2
261143274,41.8816557,-87.7550964,1
261161806,41.7342011,-87.6472384,3
261161025,41.6862843,-87.6871229,3
261156520,41.7153104,-87.5670388,3
261156529,41.715419,-87.5578725,3
261185794,41.9872088,-87.747093,1
1468352731,41.8893865,-87.6266843,3
261256718,41.7961194,-87.7782651,3
261212162,41.8987948,-87.7397918,2
261195028,41.8978045,-87.7435814,2
261129112,41.9837651,-87.8301164,2
261212543,41.9666768,-87.7035305,3
261124010,41.8692524,-87.7388837,1
12251464452,41.7242786,-87.5538828,1
261201325,41.914778,-87.6367786,2
261222181,41.8029623,-87.6855431,2
261239899,41.7937935,-87.6548635,2
11359350537,41.9706994,-87.7012016,1
266797637,41.9831907,-87.8234997,1
309802188,41.9280243,-87.6585578,2
261144656,41.7197134,-87.6383119,1
345098617,41.8744808,-87.7044479,2
261207228,41.9282471,-87.7183204,1
261285608,41.8021276,-87.6149716,2
261190711,41.7089528,-87.6271586,3
261123520,41.9571332,-87.7394168,1
539186612,41.7286997,-87.6326871,2
261200855,41.6726147,-87.6190195,2
261197693,41.7111531,-87.6672365,1
261219490,41.7334968,-87.5695479,2
261291650,41.7677315,-87.7237049,1
261176938,41.9850122,-87.7953874,3
256611285,41.8767572,-87.6410477,3
261176762,41.7877476,-87.6012279,3
261287169,41.6500322,-87.5459254,1
261181622,41.9468104,-87.8278979,3
